Percent change since December 2018 in producer prices for materials and components for construction,,
Month,Materials,Components
Dec-18,0.00%,0.00%
Jan-19,0.2,0.6
Feb-19,0.6,0.7
Mar-19,0.5,0.7
Apr-19,0.8,0.9
May-19,0.9,0.7
Jun-19,0.6,0.6
Jul-19,0.7,1.3
Aug-19,0.6,0.7
Sep-19,0.6,0.6
Oct-19,0.4,0.5
Nov-19,0.5,0.4
Dec-19,0.4,0.5
Jan-20,1.3,0.7
Feb-20,1.9,0.7
Mar-20,2.5,1.3
Apr-20,1.3,1.2
May-20,1.4,1.1
Jun-20,2.3,1.1
Jul-20,3.6,1.2
Aug-20,6.3,1.5
Sep-20,9.7,2
Oct-20,8.8,2.3
Nov-20,7.2,2.7
Dec-20,8.4,3.3
Jan-21,12.4,4.2
Feb-21,14.4,6
Mar-21,17,8.6
Apr-21,18.7,10.9
May-21,24.7,14
Jun-21,27.7,18.3
Jul-21,25.6,21.1
